DistrictId,Ecology_1,Ecology_2,Ecology_3,Floor,Healthcare_1,Helthcare_2,HouseFloor,HouseYear,Id,KitchenSquare,LifeSquare,Price,Rooms,Shops_1,Shops_2,Social_1,Social_2,Social_3,Square
23,0.075778755,B,B,16,,0,17.0,1977,175,4.0,,184501.01122512695,2.0,2,B,6,1437,3,58.692132931238426
38,0.060753049,B,B,20,,0,0.0,2017,10521,4.0,,435462.0480700058,3.0,7,B,15,2787,2,104.21139562017449
21,0.194489265,B,B,5,,3,5.0,1970,7008,5.0,,183826.31652243072,2.0,5,B,47,8004,3,48.85174210675611
23,0.034656082000000005,B,B,9,,0,12.0,1977,1821,4.0,,88464.4253950588,2.0,0,B,0,168,0,49.929488622133064
103,0.014423114,B,B,7,,0,16.0,1981,14292,8.0,,234052.26552661308,1.0,3,B,19,3806,4,41.53813827372754
23,0.014072961,B,B,3,,0,9.0,1977,7596,12.0,,96029.16787733519,1.0,0,B,2,475,0,47.080100247481404
98,0.195781053,B,B,8,,3,14.0,2003,13393,7.0,,214733.34225833853,1.0,2,B,23,5212,6,41.27061351984075
170,0.21843974,B,B,3,,4,5.0,1963,2221,5.0,,172795.8670771811,1.0,7,A,21,4472,6,35.390235379659565
94,0.282797669,B,B,11,,0,9.0,1971,10103,6.0,,148862.21017433386,1.0,6,B,33,8667,2,35.28089402875877
1,0.007122317,B,B,17,,0,22.0,2016,2301,4.0,,199215.45222932714,2.0,1,B,1,264,0,61.40005437465901
44,0.175054867,B,B,3,,1,14.0,1973,6455,7.0,,182946.36203104112,1.0,0,B,36,10055,3,31.89348347603991
1,0.007122317,B,B,14,,0,17.0,1977,16334,4.0,,156476.61434830475,1.0,1,B,1,264,0,42.41417613853096
48,0.041124634,B,B,4,,1,9.0,1980,3963,6.0,,276349.9122838608,3.0,10,B,46,9515,5,60.49673620327934
5,0.150817539,B,B,14,,4,22.0,1991,10065,7.0,,279119.9134223016,2.0,5,B,16,3433,4,54.477432041659135
23,0.005767451,B,B,3,,0,3.0,1977,3203,4.0,,90303.66568299793,2.0,0,B,1,388,0,56.21870163187176
28,0.118537385,B,B,1,,1,12.0,1970,1982,9.0,,147636.76035604483,1.0,0,B,30,6207,1,38.007936217693626
11,0.00016967599999999998,B,B,5,,1,16.0,1980,12393,10.0,,242402.234569005,2.0,1,B,36,5992,0,57.322494472127154
88,0.127375905,B,B,6,,3,12.0,1975,16601,6.0,,207641.6759898469,2.0,9,B,43,8429,3,47.31752643089487
1,0.007122317,B,B,10,,0,17.0,1977,4191,4.0,,197343.7979853104,2.0,1,B,1,264,0,65.02389875686265
47,6.99893e-05,B,B,1,,1,12.0,1978,7619,8.0,,100471.95261307227,2.0,16,B,46,10309,1,54.7873237643134
6,0.243204519,B,B,6,,0,12.0,2014,7605,4.0,,113617.2195706784,1.0,0,B,5,1564,0,42.50553193590355
52,0.371148999,B,B,5,,2,17.0,1977,9723,4.0,,158148.93648361234,2.0,5,B,34,7065,1,64.14115197487071
62,0.072157581,B,B,6,,0,0.0,1977,11398,4.0,,114063.0920409234,1.0,0,A,2,629,1,41.19418849786451
31,0.151346216,B,A,17,,4,17.0,2001,3759,9.0,,339414.5500190396,2.0,1,B,32,5889,10,57.95597269122314
57,0.13321533300000002,B,B,7,,3,5.0,1963,8443,5.0,,180538.89892241484,2.0,4,A,49,11395,3,45.96488978915266
77,6.99893e-05,B,B,14,,1,12.0,1983,1063,8.0,,179784.4733339991,1.0,16,B,46,10309,1,42.67884386982604
27,0.072157581,B,B,15,,0,17.0,2016,6925,10.0,,228584.00107195406,2.0,0,A,2,629,1,64.92910276079539
27,0.072157581,B,B,9,,0,0.0,1977,10362,4.0,,167023.97314312926,2.0,0,A,2,629,1,79.22704893716298
74,0.075778755,B,B,12,,0,17.0,2017,2136,4.0,,243479.876105312,2.0,2,B,6,1437,3,84.68773160202026
74,0.075778755,B,B,18,,0,17.0,1977,14675,4.0,,160292.1637018166,1.0,2,B,6,1437,3,52.45758937232919
79,0.16909109,B,B,2,,2,16.0,1981,9413,9.0,,174952.64419069275,1.0,5,B,19,3856,10,39.42966643301249
6,0.243204519,B,B,17,,0,17.0,2016,4014,4.0,,190762.98155043615,2.0,0,B,5,1564,0,63.184422013103685
9,0.136244425,B,B,11,,0,16.0,2006,12246,9.0,,197101.04908793507,1.0,1,B,11,2370,0,50.299167150679395
34,0.069753361,B,B,2,,1,1.0,2016,14020,4.0,,181167.64240357085,1.0,11,B,53,13670,4,47.90932737998546
85,0.037177818,B,B,6,,1,9.0,1976,2435,6.0,,266989.0161418366,4.0,7,B,52,11217,1,65.55983414534953
156,0.007658515,B,B,13,,3,17.0,2009,7758,7.0,,254236.32508556198,1.0,19,B,35,7077,56,39.24892718662953
69,0.000991363,B,B,1,,1,16.0,1985,12162,7.0,,184737.9210694037,1.0,9,B,33,6783,3,39.252554812007496
108,0.0,B,B,9,,0,12.0,1974,15600,6.0,,261086.02440592513,2.0,4,B,23,3684,2,49.888740020585054
96,0.041116354,B,B,5,,1,10.0,1994,6832,10.0,,259293.02212247785,2.0,4,B,53,14892,4,62.78380934113364
169,0.210473241,B,B,3,,3,14.0,1970,2952,8.0,,116661.59548998011,2.0,0,B,11,2398,2,58.433607265665074
18,0.0,B,B,10,,0,11.0,2000,2855,10.0,,267609.8272514647,2.0,5,A,30,5562,0,61.71855284835026
21,0.194489265,B,B,2,,3,12.0,1979,7488,8.0,,153038.21948532813,1.0,5,B,47,8004,3,42.5012260708919
27,0.041116354,B,B,2,,1,9.0,2000,11248,11.0,,238779.44765093192,2.0,4,B,53,14892,4,54.583231282802906
148,0.313924552,B,B,16,,2,1.0,2012,9613,4.0,,510700.4447348914,3.0,10,B,22,4625,11,127.48158341963554
94,0.127375905,B,B,11,,3,9.0,1976,16674,5.0,,210364.31471895878,2.0,9,B,43,8429,3,47.145626414517814
41,0.175054867,B,B,5,,1,9.0,1968,3918,5.0,,198183.07691950462,2.0,0,B,36,10055,3,48.07704110377844
128,0.0,B,B,7,,2,17.0,1994,11902,8.0,,243824.7929712899,2.0,8,B,27,4798,0,52.08218293973108
10,0.089039719,B,B,12,,0,12.0,1973,13395,6.0,,242107.0978653341,2.0,11,B,33,7976,5,50.29076173681866
144,0.306977489,B,B,2,,5,5.0,1964,1836,8.0,,212786.0017001436,2.0,7,B,27,5148,14,49.0307877478954
120,0.341071945,B,B,4,,3,5.0,1961,1671,5.0,,305732.5862953504,3.0,11,B,27,5664,48,58.57037093462771
39,0.428825818,B,B,7,,0,9.0,1973,9558,6.0,,156375.02000227175,1.0,2,B,25,5011,8,34.19820977216433
7,0.0,B,B,16,,2,17.0,1987,13887,10.0,,415398.5730306261,3.0,6,B,23,5067,4,74.97105425768765
34,0.069753361,B,B,26,,1,1.0,2014,4280,4.0,,286564.4419718113,2.0,11,B,53,13670,4,61.33496777880346
27,0.041116354,B,B,2,,1,7.0,1998,14319,11.0,,217349.25658949924,2.0,4,B,53,14892,4,58.93727974313555
84,0.14966637300000002,B,B,9,,4,9.0,1971,13671,6.0,,291058.0808994419,3.0,1,B,22,4789,2,63.72823655447478
23,0.075778755,B,B,14,,0,17.0,1977,9753,4.0,,110620.6293204901,1.0,2,B,6,1437,3,41.84569772836166
61,0.300322518,B,B,8,,1,9.0,1975,13577,5.0,,165018.9484643495,1.0,9,B,52,10311,6,33.646711450929125
1,0.007122317,B,B,10,,0,24.0,1977,14756,4.0,,175188.95821584578,1.0,1,B,1,264,0,50.61776843485736
1,0.007122317,B,B,14,,0,14.0,2014,3973,10.0,,92127.0617882676,2.0,1,B,1,264,0,62.96990315347615
123,0.0,B,B,12,,3,17.0,2005,13957,9.0,,274570.7175007904,2.0,5,B,47,11319,0,58.91191808519165
23,0.034656082000000005,B,B,3,,0,3.0,1977,11765,4.0,,113250.42650034721,2.0,0,B,0,168,0,48.76013224783535
9,0.161531741,B,B,6,,2,1.0,1977,2930,4.0,,184172.97563930124,2.0,4,B,25,5648,1,62.34715418212179
1,0.025609157,B,B,7,,3,17.0,1990,6496,8.0,,241419.59687217,2.0,1,B,33,5261,0,53.18796830353497
57,0.13321533300000002,B,B,10,,3,12.0,1984,8361,6.0,,270071.6195151077,3.0,4,A,49,11395,3,64.0151002560132
159,0.015016892,B,B,2,,0,9.0,1972,9970,6.0,,378581.5411997035,3.0,8,B,17,3079,59,61.809021596554686
27,0.017647053,B,B,8,,0,17.0,2016,3276,4.0,,192625.0493997445,2.0,0,B,2,469,0,62.224569197974155
70,0.002211665,B,B,3,,1,9.0,1981,6761,6.0,,201121.07053639015,2.0,5,A,39,7614,3,45.592912912750855
39,0.428825818,B,B,12,,0,12.0,1977,11448,7.0,,150513.47488734513,1.0,2,B,25,5011,8,35.683059286946204
94,0.282797669,B,B,12,,0,14.0,1982,12428,6.0,,204804.84335521163,2.0,6,B,33,8667,2,39.900424683233375
129,0.020741326,B,B,11,,2,12.0,1977,8583,7.0,,313452.5352345641,3.0,5,B,24,5613,5,65.68346852974332
3,0.265088676,B,B,3,,3,14.0,1984,2516,10.0,,225889.6912453254,1.0,2,B,37,5288,0,42.145274302242434
95,0.0,B,B,1,,1,5.0,1963,14635,5.0,,224746.81185663465,2.0,5,B,7,1660,39,42.389567415418014
27,0.072157581,B,B,13,,0,1.0,1977,12377,4.0,,213798.18515132746,2.0,0,A,2,629,1,60.44585456445121
78,0.092290642,B,B,18,,1,24.0,2011,14571,10.0,,212821.6747251237,1.0,2,B,21,4346,2,44.570412123654016
1,0.007122317,B,B,9,,0,17.0,1977,3975,4.0,,186403.4841889536,2.0,1,B,1,264,0,65.00927913436703
18,0.0,B,B,9,,0,17.0,1997,14822,10.0,,293371.9575586355,3.0,5,A,30,5562,0,76.23513674330522
45,0.195781053,B,B,16,,3,14.0,2015,367,4.0,,250466.98077681608,1.0,2,B,23,5212,6,42.367288692851375
15,0.158249043,B,B,10,,1,17.0,2008,9703,15.0,,373510.0571282724,4.0,0,B,21,5731,0,98.68670312903869
121,0.212515361,B,B,5,,3,5.0,1965,10935,5.0,,269680.638174428,3.0,7,B,19,3293,16,60.43816917856879
49,0.020741326,B,B,18,,2,17.0,2010,5267,8.0,,168601.97480454494,1.0,5,B,24,5613,5,43.44426635232809
25,0.069753361,B,B,4,,1,3.0,2017,8753,4.0,,309688.5926806599,3.0,11,B,53,13670,4,85.95230644639723
19,0.000991363,B,B,23,,1,25.0,2004,11279,9.0,,435909.1097547888,2.0,9,B,33,6783,3,74.44137733392219
1,0.007122317,B,B,13,,0,17.0,1977,8691,4.0,,184324.9008862336,2.0,1,B,1,264,0,55.2332130691251
59,0.019508796,B,B,5,,5,17.0,1985,16188,10.0,,354879.4031837641,2.0,5,B,37,7687,11,61.50213443093715
28,0.118537385,B,B,3,,1,9.0,1968,10337,5.0,,203425.39606435495,2.0,0,B,30,6207,1,43.771829534570266
2,0.309479124,B,B,4,,0,9.0,1968,12087,5.0,,317296.3052996641,3.0,6,B,35,7715,4,60.15940612151951
6,0.243204519,B,B,10,,0,9.0,2015,6072,4.0,,175899.97828362975,1.0,0,B,5,1564,0,65.10201679019049
96,0.041116354,B,B,1,,1,9.0,1978,6600,4.0,,155312.29482522552,1.0,4,B,53,14892,4,35.99013769288014
27,0.072157581,B,B,13,,0,1.0,1977,10726,4.0,,265978.8377804947,3.0,0,A,2,629,1,89.6929642467968
108,0.019508796,B,B,19,,5,28.0,2007,3428,12.0,,146061.7305650271,3.0,5,B,37,7687,11,110.20396948700356
127,0.486245621,B,B,3,,0,5.0,1967,15386,5.0,,176480.46517329663,2.0,6,B,13,2514,19,45.92367266158226
6,0.243204519,B,B,5,,0,17.0,1977,12613,4.0,,180727.64354109476,2.0,0,B,5,1564,0,65.49667436641931
85,0.037177818,B,B,16,,1,22.0,1987,3749,10.0,,87182.52338492699,1.0,7,B,52,11217,1,42.19894558704247
27,0.07542368,B,B,2,,0,5.0,1977,6172,10.0,,116942.67104480596,2.0,0,B,11,3097,0,92.40000684071423
56,0.0,B,B,10,,2,22.0,1999,8173,10.0,,292718.3126005229,1.0,6,B,23,5067,4,40.812877553246935
31,0.151346216,B,A,11,,4,12.0,2008,14901,10.0,,427526.00361512345,2.0,1,B,32,5889,10,62.30129218800013
1,0.007122317,B,B,11,,0,17.0,1977,9742,4.0,,194510.14788951524,2.0,1,B,1,264,0,63.672610618053405
169,0.17891679600000002,B,B,7,,1,9.0,1967,12256,5.0,,201616.27389759172,1.0,5,B,18,3594,4,33.25798132827507
31,0.151346216,B,A,6,,4,5.0,1957,3839,8.0,,419692.97803382436,3.0,1,B,32,5889,10,78.47198680838288
61,0.298204575,B,B,5,,1,5.0,1962,10835,5.0,,177434.7589711046,2.0,3,B,16,4048,3,45.586982489186994
74,0.075778755,B,B,8,,0,12.0,1977,5460,4.0,,171901.0874084269,1.0,2,B,6,1437,3,50.145176202730894
109,0.0,B,B,5,,1,22.0,1982,13759,10.0,,239038.59002294773,1.0,1,B,25,5027,4,40.117363791934814
34,0.069753361,B,B,20,,1,19.0,2017,14787,10.0,,241737.8084974161,2.0,11,B,53,13670,4,60.366625674269216
62,0.072157581,B,B,13,,0,20.0,1977,9892,4.0,,170564.40872038715,2.0,0,A,2,629,1,71.3047632136293
27,0.072157581,B,B,7,,0,17.0,2015,3287,13.0,,206780.54887701644,3.0,0,A,2,629,1,92.88554386930149
9,0.069753361,B,B,12,,1,17.0,1993,7967,7.0,,187899.22196065105,1.0,11,B,53,13670,4,37.470195242427614
94,0.521867054,B,B,8,,0,16.0,1974,10666,9.0,,137656.12292446892,1.0,0,B,25,6149,0,37.98575172539788
46,0.188783766,B,B,13,,0,16.0,2014,8141,12.0,,465067.06588342227,2.0,1,B,31,6137,4,69.80461247985367
17,0.093442564,B,B,6,,2,16.0,1980,11417,8.0,,145941.55533360448,1.0,4,B,23,4635,5,40.090754550200884
23,0.034656082000000005,B,B,2,,0,1.0,1977,14141,10.0,,114168.53270326485,2.0,0,B,0,168,0,57.69961907981183
62,0.072157581,B,B,5,,0,1.0,2015,9870,4.0,,131797.47228439266,1.0,0,A,2,629,1,51.83147294769089
23,0.075778755,B,B,9,,0,25.0,1977,4954,4.0,,123749.81125374605,1.0,2,B,6,1437,3,44.647897567499456
62,0.072157581,B,B,6,,0,1.0,1977,14109,4.0,,128813.57022387734,1.0,0,A,2,629,1,47.57727953765478
44,0.122190486,B,B,6,,1,5.0,1960,14258,5.0,,189407.27604070996,2.0,3,B,25,4724,2,44.51140745026622
23,0.005767451,B,B,3,,0,1.0,2017,15848,9.0,,111389.48105876287,3.0,0,B,1,388,0,70.21457474548518
27,0.072157581,B,B,22,,0,25.0,1977,16779,4.0,,174687.5661862937,3.0,0,A,2,629,1,51.991064354455396
85,0.037177818,B,B,15,,1,22.0,1982,15585,4.0,,202321.23147284004,1.0,7,B,52,11217,1,44.03852399189157
6,0.243204519,B,B,2,,0,1.0,1977,3522,4.0,,193361.2298149829,1.0,0,B,5,1564,0,66.41984149373265
27,0.072157581,B,B,5,,0,3.0,2017,4263,4.0,,147040.22612039236,1.0,0,A,2,629,1,54.25519113954791
119,0.000995363,B,B,6,,1,9.0,1968,14264,5.0,,186508.20856483802,2.0,5,B,42,7651,1,45.222689730275285
99,0.012338886,B,B,7,,2,9.0,1971,658,6.0,,218392.93428619305,2.0,4,B,35,5776,1,47.01806447731696
96,0.041116354,B,B,3,,1,9.0,1999,6635,8.0,,144400.25776795662,2.0,4,B,53,14892,4,57.6391671539191
41,6.99893e-05,B,B,7,,1,12.0,1983,14805,8.0,,224277.83102613143,2.0,16,B,46,10309,1,54.4778683522394
57,0.13321533300000002,B,B,4,,3,12.0,1983,16391,8.0,,213877.55976290046,2.0,4,A,49,11395,3,56.38477330543139
1,0.007122317,B,B,11,,0,9.0,1977,7023,4.0,,245130.10663746108,2.0,1,B,1,264,0,71.0055747817242
98,0.195781053,B,B,4,,3,5.0,1962,8203,5.0,,189565.89794984864,2.0,2,B,23,5212,6,47.69890152322699
47,0.298204575,B,B,7,,1,12.0,1977,15919,6.0,,204117.83359830946,2.0,3,B,16,4048,3,49.285200889669326
7,0.035145267,B,B,19,,0,17.0,2010,4747,10.0,,477665.5829146461,3.0,3,B,42,9292,3,81.46790925974453
52,0.371148999,B,B,1,,2,9.0,1966,6523,5.0,,120670.10176628393,1.0,5,B,34,7065,1,32.827650993401186
47,0.101872465,B,B,13,,3,16.0,1981,81,8.0,,254013.43464408853,2.0,3,B,23,4583,3,56.922116009244824
27,0.07542368,B,B,5,,0,4.0,1977,5790,4.0,,109264.47414521917,1.0,0,B,11,3097,0,47.17718354022401
6,0.243204519,B,B,11,,0,17.0,1977,2347,4.0,,192944.37932373298,2.0,0,B,5,1564,0,67.17058663420276
27,0.017647053,B,B,5,,0,1.0,1977,1288,4.0,,207858.57125868363,3.0,0,B,2,469,0,82.51591138174318
80,0.0077202819999999985,B,B,6,,0,22.0,1984,8708,8.0,,238623.88884125446,2.0,4,B,38,4788,2,53.74725390900309
27,0.072157581,B,B,5,,0,17.0,2015,9785,10.0,,190968.19068903898,2.0,0,A,2,629,1,62.64038950680821
57,0.13321533300000002,B,B,7,,3,5.0,1964,2416,5.0,,148991.2652001697,1.0,4,A,49,11395,3,29.298167568168665
86,0.161975568,B,A,10,,3,12.0,1974,11413,7.0,,183891.14730105453,1.0,7,B,31,7010,5,36.80582613393983
61,0.300322518,B,B,3,,1,9.0,1976,16584,6.0,,245215.47730896933,3.0,9,B,52,10311,6,54.526820684610605
83,0.100455735,B,B,11,,1,12.0,1978,12667,8.0,,269995.0027797259,2.0,6,A,43,7227,0,54.386667679168504
52,0.371148999,B,B,16,,2,17.0,1977,15527,4.0,,194618.91775709105,2.0,5,B,34,7065,1,64.22269387492523
44,0.036122292,B,B,5,,1,5.0,1965,1217,5.0,,169711.36768165938,2.0,1,B,24,4378,0,47.91700922770607
74,0.075778755,B,B,12,,0,20.0,2017,3398,4.0,,165071.82572182963,1.0,2,B,6,1437,3,48.743664866198436
62,0.002211665,B,B,8,,1,9.0,1973,10731,7.0,,243008.1393059241,3.0,5,A,39,7614,3,67.63260672812788
137,0.200146802,B,B,3,,2,8.0,1955,11442,13.0,,527120.8365334661,3.0,0,B,23,3975,8,70.22360431225314
41,0.175054867,B,B,7,,1,14.0,1973,15930,6.0,,217099.77313127727,2.0,0,B,36,10055,3,42.58151161541346
91,0.333891544,B,B,14,,0,17.0,2000,1431,7.0,,184156.11565779167,1.0,0,B,30,6564,1,41.07619268196986
94,0.521867054,B,B,5,,0,12.0,1975,3035,6.0,,162335.0140342568,2.0,0,B,25,6149,0,47.80222779023652
39,0.428825818,B,B,10,,0,9.0,1973,1372,6.0,,143120.9047238132,1.0,2,B,25,5011,8,33.68237635813288
92,0.460556389,B,B,12,,1,12.0,1971,14077,6.0,,208662.67612332516,2.0,5,B,20,4386,14,42.54009352292711
118,0.21843974,B,B,4,,4,17.0,2005,11981,12.0,,295004.8656963223,3.0,7,A,21,4472,6,92.26619160498691
187,0.041116354,B,B,8,,1,16.0,2005,13528,10.0,,173331.29890816894,1.0,4,B,53,14892,4,38.89234657283961
62,0.072157581,B,B,11,,0,16.0,2016,141,4.0,,159654.0583783081,2.0,0,A,2,629,1,67.6776032795015
54,0.006076152,B,B,14,,6,0.0,1977,4645,4.0,,466730.8053327907,2.0,6,B,30,5285,0,76.31285054725404
7,0.130617806,B,B,6,,1,5.0,1937,5198,7.0,,309690.98158393835,3.0,9,B,39,10418,9,91.90401514440286
36,0.08761909,B,B,2,,1,14.0,1978,9956,8.0,,91600.74197793,1.0,0,B,8,1497,5,38.75540671852458
13,0.090799103,B,B,16,,5,17.0,1992,10736,10.0,,311528.10086342023,3.0,15,B,74,19083,2,80.03033041968777
86,0.161975568,B,A,10,,3,25.0,2007,8478,8.0,,161307.51198226758,2.0,7,B,31,7010,5,59.96722996245699
101,0.225824954,A,B,20,,3,22.0,1999,2720,10.0,,244351.41023615282,2.0,2,B,41,6558,7,59.777540761570975
7,0.130617806,B,B,9,,1,9.0,1980,11706,6.0,,254573.5678844734,2.0,9,B,39,10418,9,49.830081678565854
106,0.246031548,B,A,8,,3,18.0,2004,4123,10.0,,260776.91379740532,2.0,3,B,22,3151,4,62.68807707320569
62,0.072157581,B,B,11,,0,1.0,1977,7985,4.0,,212527.4265195844,3.0,0,A,2,629,1,88.49139704169184
52,0.371148999,B,B,13,,2,25.0,2007,15330,7.0,,179476.81049473328,1.0,5,B,34,7065,1,39.554283412487294
27,0.072157581,B,B,8,,0,17.0,1977,7567,4.0,,183038.511216672,2.0,0,A,2,629,1,74.2140900115795
6,0.243204519,B,B,13,,0,17.0,1977,12352,4.0,,222592.1768936081,3.0,0,B,5,1564,0,82.98372191646695
161,0.0006991189999999999,B,B,5,,0,8.0,1964,3608,7.0,,383231.9608557049,3.0,3,B,14,3369,24,81.74963962728911
6,0.243204519,B,B,14,,0,17.0,2011,11535,9.0,,101123.73306602536,2.0,0,B,5,1564,0,56.571289554112866
27,0.041116354,B,B,17,,1,16.0,2010,8075,9.0,,134497.6434555525,1.0,4,B,53,14892,4,43.37251864207703
28,0.333891544,B,B,4,,0,23.0,2007,16505,9.0,,238485.4724189136,1.0,0,B,30,6564,1,45.18232856287953
98,0.313924552,B,B,3,,2,9.0,1974,2306,5.0,,155144.01923597365,1.0,10,B,22,4625,11,30.447688159505947
88,0.127375905,B,B,24,,3,22.0,1977,1748,4.0,,412511.08876429935,2.0,9,B,43,8429,3,5.49706140087997
27,0.041116354,B,B,8,,1,10.0,2007,9435,8.0,,142483.7106867975,1.0,4,B,53,14892,4,46.848992722249015
22,0.118537385,B,B,3,,1,5.0,1962,10578,5.0,,192794.9134059137,2.0,0,B,30,6207,1,45.578160725832994
1,0.007122317,B,B,12,,0,17.0,2016,11645,8.0,,209569.7743990984,2.0,1,B,1,264,0,64.2263608635554
19,0.309479124,B,B,6,,0,16.0,1978,7887,8.0,,295961.9366821018,3.0,6,B,35,7715,4,65.77099138534508
27,0.072157581,B,B,16,,0,10.0,1977,5540,9.0,,198351.89245479504,3.0,0,A,2,629,1,57.6436127469155
